id,name,domain,distance,authentication_provider
133238,Apex Academy Online,apexacademyonline.instructure.com,,
132162,Apologia,apologia.instructure.com,,
140367,Apostolic Bible Institute,apostolicbible.instructure.com,,
138417,App Academy,appacademy.instructure.com,,canvas
126444,Appalachian Bible College,abc.instructure.com,,
140329,Appalachian State University,appstate.instructure.com,,203
136810,Applaus,applaus.instructure.com,,
139593,Apple - Pop Up Classroom,ksa-appleclassroom.instructure.com,,
130768,Apple Education,apple-education.instructure.com,,
134032,Apple Professional Learning,appleprofessionallearning.instructure.com,,canvas
139708,Apple Pty Ltd,appleeducationanz.instructure.com,,
130573,"Apple, Inc.",apple.instructure.com,,saml
139500,AppleTree Institute,appletree.instructure.com,,canvas
131590,Appleby College,appleby.instructure.com,,saml
130025,Appleton Area School District- Parents,aasd.instructure.com,,canvas
130026,Appleton Area School District- Staff/Students,aasd.instructure.com,,saml
128801,Applied Property Development Institute,apdinstitute.instructure.com,,
134492,Appomattox County Schools,acpsweb.instructure.com,,
127783,Appraisal Institute,appraisalinstitute.instructure.com,,
130473,Apprenticeship Connect,apprenticeshipconnect.instructure.com,,canvas
130558,Aquinas High School,aquinashs.instructure.com,,
140230,Arabian Horse Association,arabianhorseassociation.instructure.com,,
140228,Arc Training,trainaustralia.instructure.com,,
131979,Arcadia,arcadiacollege.instructure.com,,saml
131978,Arcadia College,arcadiacollege.instructure.com,,saml
130434,Archbishop Coleman Carroll High School- Teachers and Parents,colemancarroll.instructure.com,,canvas
130435,Archbishop Coleman F. Carroll High School- Students,colemancarroll.instructure.com,,google
126445,Archbishop Edward A McCarthy High School,mccarthyhigh.instructure.com,,
128618,Archbishop Hannan High School,hannanhigh.instructure.com,,
127599,Archbishop Hoban High School,hoban.instructure.com,,
132723,Archbishop Mitty High School,mitty.instructure.com,,
136394,Archbishop Murphy High School,am-hs.instructure.com,,SAML
136452,Archbishop Murphy High School (Parents/Guardians),am-hs.instructure.com,,canvas
129949,Archbishop Rummel High School - Parent,rummelraiders.instructure.com,,canvas
129948,Archbishop Rummel High School - Student/Teacher ,rummelraiders.instructure.com,,saml
137222,Archbishop Spalding High School - Parents,spaldinghs.instructure.com,,canvas
137223,Archbishop Spalding High School - Students,spaldinghs.instructure.com,,saml
127737,Area Andina,areandina.instructure.com,,
140279,Arendell Parrott Academy,parrottacademy.instructure.com,,
126447,Argo Community High School - Parents,argohs.instructure.com,,canvas
131744,Argo Community High School - Students/Teachers,argohs.instructure.com,,saml
134801,Argos Community Schools (Parents/Guardians),argosschools.instructure.com,,canvas
134800,Argos Community Schools (Students/Teachers),argosschools.instructure.com,,saml
140648,Aria University,canvas.aria.edu,,
135928,Ariel College of the Bible and Messianic Jewish Studies,ariel.instructure.com,,
134251,Aristoi Classical Academy ,aristoiclassical.instructure.com,,
129127,Arizona Christian University,arizonachristian.instructure.com,,canvas
132887,Arizona College,arizonacollege.instructure.com,,ldap
132888,Arizona College,arizonacollege.instructure.com,,saml
135568,Arizona College of Allied Health,azcalliedhealth.instructure.com,,
136426,Arizona School For The Arts (Students),goasa.instructure.com,,saml
134874,Arizona School for the Arts (Staff & Parents),goasa.instructure.com,,canvas
132464,Arizona Western College,azwestern.instructure.com,,
140573,Ark Institute of Exploration,arkinstitute.instructure.com,,canvas
127774,Arkansas College of Health Education,ache.instructure.com,,
127558,Arkansas Department of Career Education,aalrc.instructure.com,,
136479,Arkansas Digital Learning Unit,ardigitallearningunit.instructure.com,,
137310,Arkansas State University,arkansasstateuniversity.instructure.com,,saml
130523,Arkansas State University - Mid South,asumidsouth.instructure.com,,saml
139596,Arkansas State University - Mountain Home ,asumh.instructure.com,,
138140,Arkansas State University - Three Rivers,asutr.instructure.com,,
127697,Arkansas State University Newport,asun.instructure.com,,
129279,Arkansas State University-Beebe,asubeebe.instructure.com,,saml
138025,Arlington Community Schools,acsk-12.instructure.com,,
126449,Arlington ISD,arlington.instructure.com,,
139589,Arlington National Cemetery (ANC),arlingtoncemetery.instructure.com,,1
129674,Arlington Public Schools - Parents,apsva.instructure.com,,canvas
130060,Arlington Public Schools - Students/Teachers,apsva.instructure.com,,saml
